date,patch,matchtype,matchnum,team,side,victorydefeat,time,towersdestroyed,inhibitorsdestroyed,baronsslain,dragonsslain,riftheraldsslain,summoner,role,champion,kill,death,assist,largestkillingspree,largestmultikill,firstblood,totaldamagedealttochampions,physicaldamagedealttochampions,magicdamagedealttochampions,truedamagedealttochampions,totaldamagedealt,physicaldamagedealt,magicdamagedealt,truedamagedealt,largestcriticalstrike,totaldamagetoobjectives,totaldamagetoturrets,damagehealed,damagetaken,physicaldamagetaken,magicdamagetaken,truedamagetaken,wardsplaced,wardsdestroyed,stealthwardspurchased,controlwardspurchased,goldearned,goldspent,minionskilled,neutralminionskilled,neutralminionskilledinteamsjungle,neutralminionskilledinenemyjungle,kdaratio,killparticipation,damageperdeath,damageshare,damagepergold,goldadvantage,csadvantage,csperminute,visionscoreperhour
2020-12-29,10.25,scrim,3,southeast missouri state university,blue,victory,25:08,11,3,1,4,2,Dai Enkai Entei,support,Leona,0,4,12,0,0,0,3.3,1.1,1.8,0.4,21.4,7.1,5.3,9.1,0,6.9,2.1,1.2,13.3,5.8,4.4,3.1,16,3,0,5,7.1,6.2,28,0,0,0,3,0.48,0.825,0.062264151,0.464788732,1.4,14,1.11,57.29
2020-12-29,10.25,scrim,3,lindenwood university,red,defeat,25:08,0,0,0,0,0,LoL Coach Sam,top,Pantheon,2,8,2,2,1,0,9.4,9,0.4,0,75.9,71,2.2,2.7,0,0,0,1.9,18.6,11.8,6.5,0.3,9,2,0,5,6.9,6.3,105,4,4,0,0.5,0.444444444,1.175,0.212669683,1.362318841,-5.7,-89,4.34,38.20
2020-12-29,10.25,scrim,3,lindenwood university,red,defeat,25:08,0,0,0,0,0,Puzyri,jungle,Poppy,1,5,4,1,1,0,4.3,3.2,0.9,0.1,90.3,63.7,21.6,5.1,0,2.6,0,6.1,17.7,13.6,3.8,0.3,3,2,0,3,6.9,6.2,14,99,82,0,1,0.555555556,0.86,0.097285068,0.623188406,-3.3,-25,4.50,19.10
2020-12-29,10.25,scrim,3,lindenwood university,red,defeat,25:08,0,0,0,0,0,VinaZz VI,mid,Morgana,1,4,5,1,1,0,10.9,0.8,10,0.2,96.7,12.5,83.9,0.2,0,0.1,0.1,2.9,14.9,8.9,5.7,0.3,9,1,0,2,7.8,7.5,172,4,4,0,1.5,0.666666667,2.725,0.246606335,1.397435897,-2.5,-6,7.00,28.65
2020-12-29,10.25,scrim,3,lindenwood university,red,defeat,25:08,0,0,0,0,0,MoonJuices,adc,Vayne,3,4,2,2,1,0,14,8.2,0,5.8,73.7,58.6,0,15.1,335,1,1,3.3,12.9,7,5,0.9,8,1,0,1,8.5,7.9,142,0,0,0,1.25,0.555555556,3.5,0.316742081,1.647058824,-3,-35,5.65,23.87
2020-12-29,10.25,scrim,3,lindenwood university,red,defeat,25:08,0,0,0,0,0,bricktps,support,Lux,2,4,3,2,1,0,5.6,0.4,4.8,0.4,14.2,1.7,12.2,0.4,0,0.3,0,1.8,6.7,4.4,2.1,0.2,9,4,0,3,5.7,5.6,14,0,0,0,1.25,0.555555556,1.4,0.126696833,0.98245614,-1.4,-14,0.56,38.20
2021-01-04,10.25,scrim,1,university of puget sound,blue,victory,22:33,4,1,0,4,1,cbhong,top,Shen,6,0,9,6,1,0,9.5,4,5.2,0.4,49.7,22.1,23,4.6,8,7.5,0.4,1.4,9.6,5.7,3.6,0.3,7,1,0,0,7.4,6.5,105,0,0,0,#DIV/0!,0.517241379,#DIV/0!,0.177238806,1.283783784,0.2,-45,4.66,21.29
2021-01-04,10.25,scrim,1,university of puget sound,blue,victory,22:33,4,1,0,4,1,Nînes,jungle,Nunu,4,0,13,4,1,1,8.2,0.9,6.9,0.4,113.4,21.4,43.6,48.5,0,19.6,0.5,15.7,20.4,14.4,5.7,0.3,4,1,0,3,8.7,7.7,4,130,72,14,#DIV/0!,0.586206897,#DIV/0!,0.152985075,0.942528736,2.5,35,5.94,21.29
2021-01-04,10.25,scrim,1,university of puget sound,blue,victory,22:33,4,1,0,4,1,WayOfTheHunter,mid,Yone,3,1,12,2,1,0,10.2,6.4,2.5,1.2,125.6,90.9,17.2,17.5,374,11.8,4.4,6.3,14.1,7.8,5.7,0.6,10,2,0,3,9.1,7.1,148,26,4,18,15,0.517241379,10.2,0.190298507,1.120879121,2.5,48,7.72,39.91
2021-01-04,10.25,scrim,1,university of puget sound,blue,victory,22:33,4,1,0,4,1,Sudakaa,adc,Jhin,16,0,6,16,4,0,20.1,16.9,2.8,0.3,122.3,110.4,10.7,1.2,872,10.3,5.7,3.7,6.8,4.4,1.9,0.4,11,1,0,4,12,9.2,167,13,4,1,#DIV/0!,0.75862069,#DIV/0!,0.375,1.675,5.4,26,7.98,42.57
